recipe_code	n_point	Act	Safe	r_crd	z_crd	place	hidden	a_nozzle	alfa_crd	betta_crd	speed_table	ice_rate	ice_grind	air_pressure	air_temp	container	d_clamp_form	d_clamp_cont	description	Xr0	Yx0	Zr0	dX	dY	dZ	dA	aB	Xpuls	Ypuls	Zpuls	Apuls	Bpuls	Top_puls	Top_Hz	Low_puls	Low_Hz	Clamp_puls
H340_KAMA_1	1	1	0	364	354	0	0	20	-30	12	3	100	0	5	0	1	800	1600	0	94	0	354	41,3	-56,1	-132	-30	12	2065	-2805	-6600	-150	60	102800	5140	102800	5140	80000
H340_KAMA_1	2	1	0	377	337	0	0	20	-15	13	3	103,6	0	5	0	1	800	1600	0	94	0	354	-12,4	-4,6	46,9	15	1	-620	-230	2345	75	5	102800	5140	102800	5140	80000
H340_KAMA_1	3	1	0	382	315	0	0	20	0	43	3	104,9	0	5	0	1	800	1600	0	94	0	354	61,6	-123,4	46,1	15	30	3080	-6170	2305	75	150	102800	5140	102800	5140	80000
H340_KAMA_1	4	1	0	384	294	0	0	20	0	0	3	105,5	0	5	0	1	800	1600	0	94	0	354	-70,5	184,1	-21	0	-43	-3525	9205	-1050	0	-215	102800	5140	102800	5140	80000
H340_KAMA_1	5	1	0	385,3	272	0	0	20	0	0	3	105,9	0	5	0	1	800	1600	0	94	0	354	1,3	0	-22	0	0	65	0	-1100	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	6	1	0	385,2	250	0	0	20	0	0	3	105,8	0	5	0	1	800	1600	0	94	0	354	-0,1	0	-22	0	0	-5	0	-1100	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	7	1	0	385,1	228	0	0	20	0	0	3	105,8	0	5	0	1	800	1600	0	94	0	354	-0,1	0	-22	0	0	-5	0	-1100	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	8	1	0	385	206	0	0	20	0	0	3	105,8	0	5	0	1	800	1600	0	94	0	354	-0,1	0	-22	0	0	-5	0	-1100	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	9	1	0	384	184	0	0	20	0	0	3	105,5	0	5	0	1	800	1600	0	94	0	354	-1	0	-22	0	0	-50	0	-1100	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	10	1	0	382	162	0	0	20	3	0	3	104,9	0	5	0	1	800	1600	0	94	0	354	-1,6	0	-7,9	3	0	-80	0	-395	15	0	102800	5140	102800	5140	80000
H340_KAMA_1	11	1	0	377	140	0	0	20	13	0	3	103,6	0	5	0	1	800	1600	0	94	0	354	1,5	0	24,6	10	0	75	0	1230	50	0	102800	5140	102800	5140	80000
H340_KAMA_1	12	1	0	364	118	0	0	20	31	0	3	100	0	5	0	1	800	1600	0	94	0	354	18,7	0	56,4	18	0	935	0	2820	90	0	102800	5140	102800	5140	80000
H340_KAMA_1	13	1	0	355	105	0	0	20	35	0	3	97,5	0	5	0	1	800	1600	0	94	0	354	1,2	0	2,8	4	0	60	0	140	20	0	102800	5140	102800	5140	80000
H340_KAMA_1	14	1	0	334	99	0	0	20	60	0	3	91,8	0	5	0	1	800	1600	0	94	0	354	65,2	0	72,9	25	0	3260	0	3645	125	0	102800	5140	102800	5140	80000
H340_KAMA_1	15	1	0	311	99	0	0	20	80	0	3	85,4	0	5	0	1	800	1600	0	94	0	354	65,1	0	32,1	20	0	3255	0	1605	100	0	102800	5140	102800	5140	80000
H340_KAMA_1	16	1	0	290	102	0	0	20	90	0	3	79,7	0	5	0	1	800	1600	0	94	0	354	25,9	0	7,1	10	0	1295	0	355	50	0	102800	5140	102800	5140	80000
H340_KAMA_1	17	1	0	269	108	0	0	20	90	0	3	73,9	0	5	0	1	800	1600	0	94	0	354	-21	0	6	0	0	-1050	0	300	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	18	1	0	253	117	0	0	20	90	0	3	69,5	0	5	0	1	800	1600	0	94	0	354	-16	0	9	0	0	-800	0	450	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	19	1	0	242	135	0	0	20	120	0	3	66,5	0	5	0	1	800	1600	0	94	0	354	124	0	-18,2	30	0	6200	0	-910	150	0	102800	5140	102800	5140	80000
H340_KAMA_1	20	1	0	220	137	0	0	20	90	0	3	60,4	0	5	0	1	800	1600	0	94	0	354	-157	0	38,2	-30	0	-7850	0	1910	-150	0	102800	5140	102800	5140	80000
H340_KAMA_1	21	1	0	198	137	0	0	20	90	0	3	54,4	0	5	0	1	800	1600	0	94	0	354	-22	0	0	0	0	-1100	0	0	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	22	1	0	181	136	0	0	20	90	0	3	49,7	0	5	0	1	800	1600	0	94	0	354	-17	0	-1	0	0	-850	0	-50	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	23	1	0	334	99	1	0	20	90	0	3	91,8	0	5	0	1	800	1600	0	94	0	354	-515	0	425	0	0	-25750	0	21250	0	0	102800	5140	102800	5140	80000
